BioNavigator Version	6.3.67.0	PamGrid Version	QuantitationType	Signal_Saturation	Protocol file name	Image Analysis_STKDate	Tue, 25 Feb 2020 17:52:12 GMT
	Barcode	710230318	710230318	710230318	710230318	710230318	710230318	710230318	710230318	710230318	710230318	710230318	710230318	710230318	710230318	710230318	710230318	710230318	710230318	710230318	710230318	710230318	710230318	710230318	710230318	710230318	710230318	710230318	710230318	710230318	710230318	710230318	710230318	710230318	710230318	710230318	710230318	710230318	710230318	710230318	710230318	710230318	710230318	710230318	710230318	710230318	710230318	710230318	710230318	710230318	710230318	710230318	710230318	710230318	710230318	710230318	710230318	710230318	710230318	710230318	710230318	710230318	710230318	710230318	710230318	710230318	710230318	710230318	710230318	710230318	710230318	710230318	710230318	710230318	710230318	710230318	710230318	710230318	710230318	710230318	710230318	710230318	710230318	710230318	710230318	710230318	710230318	710230318	710230318	710230318	710230318	710230318	710230318	710230318	710230318	710230318	710230318	710230318	710230318	710230318	710230318	710230318	710230318	710230318	710230318	710230319	710230319	710230319	710230319	710230319	710230319	710230319	710230319	710230319	710230319	710230319	710230319	710230319	710230319	710230319	710230319	710230319	710230319	710230319	710230319	710230319	710230319	710230319	710230319	710230319	710230319	710230319	710230319	710230319	710230319	710230319	710230319	710230319	710230319	710230319	710230319	710230319	710230319	710230319	710230319	710230319	710230319	710230319	710230319	710230319	710230319	710230319	710230319	710230319	710230319	710230319	710230319	710230319	710230319	710230319	710230319	710230319	710230319	710230319	710230319	710230319	710230319	710230319	710230319	710230319	710230319	710230319	710230319	710230319	710230319	710230319	710230319	710230319	710230319	710230319	710230319	710230319	710230319	710230319	710230319	710230319	710230319	710230319	710230319	710230319	710230319	710230319	710230319	710230319	710230319	710230319	710230319	710230319	710230319	710230319	710230319	710230319	710230319	710230319	710230319	710230319	710230319	710230319	710230319	710230320	710230320	710230320	710230320	710230320	710230320	710230320	710230320	710230320	710230320	710230320	710230320	710230320	710230320	710230320	710230320	710230320	710230320	710230320	710230320	710230320	710230320	710230320	710230320	710230320	710230320	710230320	710230320	710230320	710230320	710230320	710230320	710230320	710230320	710230320	710230320	710230320	710230320	710230320	710230320	710230320	710230320	710230320	710230320	710230320	710230320	710230320	710230320	710230320	710230320	710230320	710230320	710230320	710230320	710230320	710230320	710230320	710230320	710230320	710230320	710230320	710230320	710230320	710230320	710230320	710230320	710230320	710230320	710230320	710230320	710230320	710230320	710230320	710230320	710230320	710230320	710230320	710230320
	Exposure time	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	20.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	100.0	200.0	200.0	200.0	200.0	200.0	200.0	200.0	200.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	20.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	100.0	200.0	200.0	200.0	200.0	200.0	200.0	200.0	200.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	20.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	100.0	200.0	200.0	200.0	200.0	200.0	200.0	200.0	200.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	20.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	100.0	200.0	200.0	200.0	200.0	200.0	200.0	200.0	200.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	20.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	100.0	200.0	200.0	200.0	200.0	200.0	200.0	200.0	200.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	20.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	100.0	200.0	200.0	200.0	200.0	200.0	200.0	200.0	200.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	20.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	100.0	200.0	200.0	200.0	200.0	200.0	200.0	200.0	200.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	20.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	100.0	200.0	200.0	200.0	200.0	200.0	200.0	200.0	200.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	20.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	100.0	200.0	200.0	200.0	200.0	200.0	200.0	200.0	200.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	20.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	100.0	200.0	200.0	200.0	200.0	200.0	200.0	200.0	200.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	20.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	100.0	200.0	200.0	200.0	200.0	200.0	200.0	200.0	200.0
	Cycle	92	97	102	107	112	117	122	124	124	92	97	102	107	112	117	122	124	124	92	97	102	107	112	117	122	124	92	97	102	107	112	117	122	124	124	92	97	102	107	112	117	122	124	124	92	97	102	107	112	117	122	124	92	97	102	107	112	117	122	124	124	92	97	102	107	112	117	122	124	124	92	97	102	107	112	117	122	124	92	97	102	107	112	117	122	124	124	92	97	102	107	112	117	122	124	124	92	97	102	107	112	117	122	124	92	97	102	107	112	117	122	124	124	92	97	102	107	112	117	122	124	124	92	97	102	107	112	117	122	124	92	97	102	107	112	117	122	124	124	92	97	102	107	112	117	122	124	124	92	97	102	107	112	117	122	124	92	97	102	107	112	117	122	124	124	92	97	102	107	112	117	122	124	124	92	97	102	107	112	117	122	124	92	97	102	107	112	117	122	124	124	92	97	102	107	112	117	122	124	124	92	97	102	107	112	117	122	124	92	97	102	107	112	117	122	124	124	92	97	102	107	112	117	122	124	124	92	97	102	107	112	117	122	124	92	97	102	107	112	117	122	124	124	92	97	102	107	112	117	122	124	124	92	97	102	107	112	117	122	124	92	97	102	107	112	117	122	124	124	92	97	102	107	112	117	122	124	124	92	97	102	107	112	117	122	124
	Sample name	CTL_STR	CTL_STR	CTL_STR	CTL_STR	CTL_STR	CTL_STR	CTL_STR	CTL_STR	CTL_STR	CTL_STR	CTL_STR	CTL_STR	CTL_STR	CTL_STR	CTL_STR	CTL_STR	CTL_STR	CTL_STR	CTL_STR	CTL_STR	CTL_STR	CTL_STR	CTL_STR	CTL_STR	CTL_STR	CTL_STR	CTL_HPC	CTL_HPC	CTL_HPC	CTL_HPC	CTL_HPC	CTL_HPC	CTL_HPC	CTL_HPC	CTL_HPC	CTL_HPC	CTL_HPC	CTL_HPC	CTL_HPC	CTL_HPC	CTL_HPC	CTL_HPC	CTL_HPC	CTL_HPC	CTL_HPC	CTL_HPC	CTL_HPC	CTL_HPC	CTL_HPC	CTL_HPC	CTL_HPC	CTL_HPC	Exer_STR	Exer_STR	Exer_STR	Exer_STR	Exer_STR	Exer_STR	Exer_STR	Exer_STR	Exer_STR	Exer_STR	Exer_STR	Exer_STR	Exer_STR	Exer_STR	Exer_STR	Exer_STR	Exer_STR	Exer_STR	Exer_STR	Exer_STR	Exer_STR	Exer_STR	Exer_STR	Exer_STR	Exer_STR	Exer_STR	Exer_HPC	Exer_HPC	Exer_HPC	Exer_HPC	Exer_HPC	Exer_HPC	Exer_HPC	Exer_HPC	Exer_HPC	Exer_HPC	Exer_HPC	Exer_HPC	Exer_HPC	Exer_HPC	Exer_HPC	Exer_HPC	Exer_HPC	Exer_HPC	Exer_HPC	Exer_HPC	Exer_HPC	Exer_HPC	Exer_HPC	Exer_HPC	Exer_HPC	Exer_HPC	CTL_STR	CTL_STR	CTL_STR	CTL_STR	CTL_STR	CTL_STR	CTL_STR	CTL_STR	CTL_STR	CTL_STR	CTL_STR	CTL_STR	CTL_STR	CTL_STR	CTL_STR	CTL_STR	CTL_STR	CTL_STR	CTL_STR	CTL_STR	CTL_STR	CTL_STR	CTL_STR	CTL_STR	CTL_STR	CTL_STR	CTL_HPC	CTL_HPC	CTL_HPC	CTL_HPC	CTL_HPC	CTL_HPC	CTL_HPC	CTL_HPC	CTL_HPC	CTL_HPC	CTL_HPC	CTL_HPC	CTL_HPC	CTL_HPC	CTL_HPC	CTL_HPC	CTL_HPC	CTL_HPC	CTL_HPC	CTL_HPC	CTL_HPC	CTL_HPC	CTL_HPC	CTL_HPC	CTL_HPC	CTL_HPC	Exer_STR	Exer_STR	Exer_STR	Exer_STR	Exer_STR	Exer_STR	Exer_STR	Exer_STR	Exer_STR	Exer_STR	Exer_STR	Exer_STR	Exer_STR	Exer_STR	Exer_STR	Exer_STR	Exer_STR	Exer_STR	Exer_STR	Exer_STR	Exer_STR	Exer_STR	Exer_STR	Exer_STR	Exer_STR	Exer_STR	Exer_HPC	Exer_HPC	Exer_HPC	Exer_HPC	Exer_HPC	Exer_HPC	Exer_HPC	Exer_HPC	Exer_HPC	Exer_HPC	Exer_HPC	Exer_HPC	Exer_HPC	Exer_HPC	Exer_HPC	Exer_HPC	Exer_HPC	Exer_HPC	Exer_HPC	Exer_HPC	Exer_HPC	Exer_HPC	Exer_HPC	Exer_HPC	Exer_HPC	Exer_HPC	CTR_STR	CTR_STR	CTR_STR	CTR_STR	CTR_STR	CTR_STR	CTR_STR	CTR_STR	CTR_STR	CTR_STR	CTR_STR	CTR_STR	CTR_STR	CTR_STR	CTR_STR	CTR_STR	CTR_STR	CTR_STR	CTR_STR	CTR_STR	CTR_STR	CTR_STR	CTR_STR	CTR_STR	CTR_STR	CTR_STR	CTL_HPC	CTL_HPC	CTL_HPC	CTL_HPC	CTL_HPC	CTL_HPC	CTL_HPC	CTL_HPC	CTL_HPC	CTL_HPC	CTL_HPC	CTL_HPC	CTL_HPC	CTL_HPC	CTL_HPC	CTL_HPC	CTL_HPC	CTL_HPC	CTL_HPC	CTL_HPC	CTL_HPC	CTL_HPC	CTL_HPC	CTL_HPC	CTL_HPC	CTL_HPC	Exer_STR	Exer_STR	Exer_STR	Exer_STR	Exer_STR	Exer_STR	Exer_STR	Exer_STR	Exer_STR	Exer_STR	Exer_STR	Exer_STR	Exer_STR	Exer_STR	Exer_STR	Exer_STR	Exer_STR	Exer_STR	Exer_STR	Exer_STR	Exer_STR	Exer_STR	Exer_STR	Exer_STR	Exer_STR	Exer_STR
	Array	A1	A1	A1	A1	A1	A1	A1	A1	A1	A1	A1	A1	A1	A1	A1	A1	A1	A1	A1	A1	A1	A1	A1	A1	A1	A1	A2	A2	A2	A2	A2	A2	A2	A2	A2	A2	A2	A2	A2	A2	A2	A2	A2	A2	A2	A2	A2	A2	A2	A2	A2	A2	A3	A3	A3	A3	A3	A3	A3	A3	A3	A3	A3	A3	A3	A3	A3	A3	A3	A3	A3	A3	A3	A3	A3	A3	A3	A3	A4	A4	A4	A4	A4	A4	A4	A4	A4	A4	A4	A4	A4	A4	A4	A4	A4	A4	A4	A4	A4	A4	A4	A4	A4	A4	A1	A1	A1	A1	A1	A1	A1	A1	A1	A1	A1	A1	A1	A1	A1	A1	A1	A1	A1	A1	A1	A1	A1	A1	A1	A1	A2	A2	A2	A2	A2	A2	A2	A2	A2	A2	A2	A2	A2	A2	A2	A2	A2	A2	A2	A2	A2	A2	A2	A2	A2	A2	A3	A3	A3	A3	A3	A3	A3	A3	A3	A3	A3	A3	A3	A3	A3	A3	A3	A3	A3	A3	A3	A3	A3	A3	A3	A3	A4	A4	A4	A4	A4	A4	A4	A4	A4	A4	A4	A4	A4	A4	A4	A4	A4	A4	A4	A4	A4	A4	A4	A4	A4	A4	A1	A1	A1	A1	A1	A1	A1	A1	A1	A1	A1	A1	A1	A1	A1	A1	A1	A1	A1	A1	A1	A1	A1	A1	A1	A1	A2	A2	A2	A2	A2	A2	A2	A2	A2	A2	A2	A2	A2	A2	A2	A2	A2	A2	A2	A2	A2	A2	A2	A2	A2	A2	A3	A3	A3	A3	A3	A3	A3	A3	A3	A3	A3	A3	A3	A3	A3	A3	A3	A3	A3	A3	A3	A3	A3	A3	A3	A3
ID
#REF		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
#REF		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
#REF		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
#REF		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
